reference,clean_reject,resolution_s1_catch,resolution_s2_catch,resolution_s3_catch
10.0,0.020833333333333332,0.3333333333333333,0.7916666666666666,1.0
15.0,0.08333333333333333,0.5208333333333334,0.8958333333333334,1.0
20.0,0.10416666666666667,0.625,0.9166666666666666,1.0
25.0,0.10416666666666667,0.6875,0.9583333333333334,1.0
30.0,0.10416666666666667,0.7083333333333334,0.9583333333333334,1.0
35.0,0.14583333333333334,0.7291666666666666,0.9791666666666666,1.0
40.0,0.20833333333333334,0.7708333333333334,0.9791666666666666,1.0
50.0,0.3125,0.8541666666666666,0.9791666666666666,1.0
60.0,0.375,0.875,1.0,1.0
75.0,0.4375,0.875,1.0,1.0
100.0,0.5,0.9166666666666666,1.0,1.0
