degradation,severity,mean_target_signal,mean_quality_score
brightness,1,0.7529280127953023,0.5844970662005123
brightness,2,0.46560852764184757,0.4006017567349726
brightness,3,0.23231642706938146,0.2300665877004864
contrast,1,0.32348202658886466,0.5999841827025596
contrast,2,0.20800273648205034,0.4919843147900555
contrast,3,0.11572936799496801,0.3815222426836769
blur,1,0.1338836255052913,0.44991533255202315
blur,2,0.030352121870917625,0.35988906000352766
blur,3,0.01749427904863048,0.3410190424568989
resolution,1,0.4297290703697441,0.47416875430633837
resolution,2,0.1765068737361913,0.3771840231123414
resolution,3,0.07955816986432025,0.3434166765946259
