degradation,severity,signal,expected_signal,mean_signal,median_signal
brightness,1,resolution,False,0.7912211494874586,1.0
brightness,1,brightness,True,0.7529280127953023,0.7519671446343806
brightness,1,contrast,False,0.34654940835598014,0.3213496118878481
brightness,1,blur,False,0.4472896941633086,0.31466446879426657
brightness,2,resolution,False,0.6081274573312364,0.5973935479810528
brightness,2,brightness,True,0.46560852764184757,0.46445119196240464
brightness,2,contrast,False,0.23110661543224073,0.214347682027076
brightness,2,blur,False,0.29756442653456566,0.1493483869952632
brightness,3,resolution,False,0.40226844471229734,0.2655470452579819
brightness,3,brightness,True,0.23231642706938146,0.23161616406994534
brightness,3,contrast,False,0.1388042757632797,0.12881407312458995
brightness,3,blur,False,0.14687720325698736,0.06638676131449547
contrast,1,resolution,False,0.7608305458721758,0.984375
contrast,1,brightness,False,0.8970920410193634,0.9010300638841252
contrast,1,contrast,True,0.32348202658886466,0.30016874736075116
contrast,1,blur,False,0.4185321173298345,0.27990717522712416
contrast,2,resolution,False,0.5643061337285983,0.5079108086873849
contrast,2,brightness,False,0.9341649050513108,0.935671194763266
contrast,2,contrast,True,0.20800273648205034,0.19260268192760518
contrast,2,blur,False,0.26146348389826274,0.12697770217184623
contrast,3,resolution,False,0.3401493792777061,0.20200240169183797
contrast,3,brightness,False,0.9638924681475661,0.963811005729154
contrast,3,contrast,True,0.11572936799496801,0.10708432470382243
contrast,3,blur,False,0.10631775531446767,0.050500600422959493
blur,1,resolution,False,0.36650437759911686,0.2269769638828098
blur,1,brightness,False,0.8512874243074385,0.8621495138864569
blur,1,contrast,False,0.4479859027962461,0.4062585363774516
blur,1,blur,True,0.1338836255052913,0.05674424097070245
blur,2,resolution,False,0.1214084874836705,0.09426666443450148
blur,2,brightness,False,0.8513006126413484,0.8621185559784672
blur,2,contrast,False,0.43649501801817453,0.3912380497468907
blur,2,blur,True,0.030352121870917625,0.02356666610862537
blur,3,resolution,False,0.06997711619452192,0.07064528611486384
blur,3,brightness,False,0.8513049725096623,0.8620998190995692
blur,3,contrast,False,0.42529980207478113,0.390420774110825
blur,3,blur,True,0.01749427904863048,0.01766132152871596
resolution,1,resolution,True,0.4297290703697441,0.2838251487114354
resolution,1,brightness,False,0.8514765264551566,0.8610481877617049
resolution,1,contrast,False,0.4480429326357538,0.40667865740601095
resolution,1,blur,False,0.16742648776469904,0.07095628717785885
resolution,2,resolution,True,0.17650687373619134,0.11962447960559236
resolution,2,brightness,False,0.8515552253552466,0.8610027880107549
resolution,2,contrast,False,0.4363704686540506,0.39156790383461704
resolution,2,blur,False,0.044303524703877106,0.02990611990139809
resolution,3,resolution,True,0.07955816986432025,0.07829112645818642
resolution,3,brightness,False,0.8515807989461681,0.8609887010275579
resolution,3,contrast,False,0.4226381951019351,0.39023438125692467
resolution,3,blur,False,0.019889542466080063,0.019572781614546605
