degradation,severity,issue_type,count
blur,1,motion_blur,37
blur,1,resolution,34
blur,1,low_contrast,2
blur,2,motion_blur,48
blur,2,resolution,47
blur,2,low_contrast,2
blur,3,motion_blur,48
blur,3,resolution,48
blur,3,low_contrast,4
brightness,1,motion_blur,13
brightness,1,low_contrast,10
brightness,1,resolution,8
brightness,2,low_contrast,33
brightness,2,motion_blur,24
brightness,2,resolution,23
brightness,2,low_brightness,11
brightness,3,low_brightness,48
brightness,3,low_contrast,46
brightness,3,motion_blur,36
brightness,3,resolution,34
clean,0,motion_blur,5
clean,0,resolution,5
clean,0,low_contrast,1
combined,1,motion_blur,48
combined,1,resolution,47
combined,1,low_contrast,32
combined,2,low_contrast,48
combined,2,motion_blur,48
combined,2,resolution,48
combined,3,low_contrast,48
combined,3,motion_blur,48
combined,3,resolution,48
contrast,1,motion_blur,16
contrast,1,low_contrast,14
contrast,1,resolution,9
contrast,2,low_contrast,38
contrast,2,motion_blur,27
contrast,2,resolution,24
contrast,3,low_contrast,48
contrast,3,motion_blur,38
contrast,3,resolution,38
resolution,1,motion_blur,34
resolution,1,resolution,33
resolution,1,low_contrast,2
resolution,2,motion_blur,46
resolution,2,resolution,46
resolution,2,low_contrast,2
resolution,3,motion_blur,48
resolution,3,resolution,48
resolution,3,low_contrast,4
