degradation,severity,samples,mean_quality_score,median_quality_score,usable_rate
blur,1,48,0.6081264777355774,0.5880110525026256,54.166666666666664
blur,2,48,0.5793741777159435,0.5766521030144913,12.5
blur,3,48,0.5733620029916019,0.5713145633557595,0.0
brightness,1,48,0.6365290184119811,0.5941202485520092,89.58333333333334
brightness,2,48,0.4984071319854968,0.45868815591200407,54.166666666666664
brightness,3,48,0.3793367161057455,0.3610725568800264,2.083333333333333
clean,0,48,0.7212370718669266,0.6866165147544044,97.91666666666666
combined,1,48,0.5210541332304505,0.5152283839654926,8.333333333333332
combined,2,48,0.46528643780316314,0.4640474006704864,0.0
combined,3,48,0.4595822558187843,0.4595586301895692,0.0
contrast,1,48,0.659613785817849,0.6121845805048646,85.41666666666666
contrast,2,48,0.6007450209412393,0.5601120281670002,43.75
contrast,3,48,0.5463221374475838,0.5304126230963261,4.166666666666666
resolution,1,48,0.6165737262972356,0.5919374379108191,64.58333333333334
resolution,2,48,0.5828945442616269,0.5778692717108502,20.833333333333336
resolution,3,48,0.5733643737118792,0.5712635132940131,0.0
