image_id,true_class,source,outcome,framing,predicted_class,mask_area_fraction
000264,ACK,ddi,ASSESSED,pre_framed,ACK,0.31890869140625
000005,BCC,ddi,ASSESSED,pre_framed,BCC,0.8125038146972656
000289,BCC,ddi,ASSESSED,pre_framed,BCC,0.4089241027832031
000292,BCC,ddi,ASSESSED,pre_framed,NEV,0.072723388671875
000290,BCC,ddi,ASSESSED,pre_framed,BCC,0.420135498046875
000293,BCC,ddi,ASSESSED,pre_framed,ACK,0.24762344360351562
000291,BCC,ddi,ASSESSED,pre_framed,ACK,0.12648391723632812
000037,BCC,ddi,ASSESSED,pre_framed,ACK,0.4035530090332031
000406,BCC,ddi,ASSESSED,pre_framed,NEV,0.057056427001953125
000073,BCC,ddi,ASSESSED,pre_framed,BCC,0.19715499877929688
000440,BCC,ddi,ASSESSED,pre_framed,ACK,0.08568191528320312
000407,BCC,ddi,ASSESSED,pre_framed,ACK,0.23998641967773438
000071,BCC,ddi,ASSESSED,pre_framed,BCC,0.6884536743164062
000405,BCC,ddi,ASSESSED,pre_framed,ACK,0.08875656127929688
000072,BCC,ddi,ASSESSED,pre_framed,ACK,0.21535873413085938
000404,NEV,ddi,ASSESSED,pre_framed,SEK,0.40301513671875
000265,NEV,ddi,ASSESSED,pre_framed,ACK,0.0332489013671875
000277,NEV,ddi,ASSESSED,pre_framed,NEV,0.21858978271484375
000051,NEV,ddi,ASSESSED,pre_framed,NEV,0.45595550537109375
000328,NEV,ddi,ASSESSED,pre_framed,BCC,0.3062286376953125
000439,NEV,ddi,ASSESSED,pre_framed,ACK,0.2625846862792969
000310,NEV,ddi,ASSESSED,pre_framed,ACK,0.033306121826171875
000273,NEV,ddi,ASSESSED,pre_framed,ACK,0.3000679016113281
000305,NEV,ddi,ASSESSED,pre_framed,NEV,0.2775306701660156
000323,NEV,ddi,ASSESSED,pre_framed,MEL,0.08856201171875
000275,NEV,ddi,ASSESSED,pre_framed,NEV,0.141845703125
000046,NEV,ddi,ASSESSED,pre_framed,BCC,0.4669837951660156
000278,NEV,ddi,ASSESSED,pre_framed,NEV,0.08902740478515625
000280,NEV,ddi,ASSESSED,pre_framed,NEV,0.316925048828125
000042,NEV,ddi,ASSESSED,pre_framed,ACK,0.02487945556640625
000281,NEV,ddi,ASSESSED,pre_framed,ACK,0.770263671875
000288,NEV,ddi,ASSESSED,pre_framed,ACK,0.343597412109375
000322,NEV,ddi,ASSESSED,pre_framed,NEV,0.0042877197265625
000047,NEV,ddi,ASSESSED,pre_framed,BCC,0.23310089111328125
000283,NEV,ddi,ASSESSED,pre_framed,ACK,0.24048995971679688
000438,NEV,ddi,ASSESSED,pre_framed,NEV,0.27828216552734375
000279,NEV,ddi,ASSESSED,pre_framed,NEV,0.24373245239257812
000318,NEV,ddi,ASSESSED,pre_framed,SCC,0.3590240478515625
000271,NEV,ddi,ASSESSED,pre_framed,NEV,0.2538795471191406
000307,NEV,ddi,ASSESSED,pre_framed,NEV,0.20920181274414062
000285,NEV,ddi,ASSESSED,pre_framed,ACK,0.16411209106445312
000048,NEV,ddi,ASSESSED,pre_framed,ACK,0.4844779968261719
000320,NEV,ddi,ASSESSED,pre_framed,NEV,0.2220458984375
000309,NEV,ddi,ASSESSED,pre_framed,BCC,0.5669593811035156
000049,NEV,ddi,ASSESSED,pre_framed,NEV,0.3489837646484375
000317,NEV,ddi,ASSESSED,pre_framed,ACK,0.5085716247558594
000306,NEV,ddi,ASSESSED,pre_framed,ACK,0.35987091064453125
000286,NEV,ddi,ASSESSED,pre_framed,SEK,0.2982673645019531
000269,NEV,ddi,ASSESSED,pre_framed,SEK,0.0019989013671875
000272,NEV,ddi,ASSESSED,pre_framed,NEV,0.05078887939453125
000274,NEV,ddi,ASSESSED,pre_framed,NEV,0.03649139404296875
000267,NEV,ddi,ASSESSED,pre_framed,NEV,0.42057037353515625
