geometry,size_variable,size_group,threshold,n_total,n_problematic,n_clean,problematic_mean_margin,clean_mean_margin,mann_whitney_p,size_margin_spearman_rho,size_margin_spearman_p,linear_slope,problematic_adjusted_margin,clean_adjusted_margin,adjusted_margin_difference
C1,diameter_1,small_or_equal,10.5,11.0,3.0,8.0,0.2339175542195638,-1.4267857074737549,0.012121212121212121,,,,,,
C1,diameter_1,large,10.5,11.0,8.0,3.0,-0.5541393756866455,-1.811783790588379,0.2787878787878788,,,,,,
C1,diameter_2,small_or_equal,9.0,13.0,4.0,9.0,-0.21546196937561035,-1.604617224799262,0.050349650349650346,,,,,,
C1,diameter_2,large,9.0,9.0,7.0,2.0,-0.4099306379045759,-1.2040410041809082,0.6666666666666666,,,,,,
C1,diameter_1,,,,,,,,0.1309681037982119,0.13722834623316638,0.5425386037810475,0.054371968634815145,0.4133976822611087,-0.4133976822611077,0.8267953645222164
C1,diameter_2,,,,,,,,0.07623611561456439,0.1526251584685767,0.49772221581035314,0.04671810069300564,0.48586061148565474,-0.4858606114856553,0.97172122297131
C1,lesion_area_proxy,,,,,,,,0.10066768749863966,0.12775587588387324,0.570999476231625,0.002441535779740815,0.44246845899999665,-0.44246845899999704,0.8849369179999937
F1,diameter_1,small_or_equal,10.5,11.0,3.0,8.0,-0.2666180928548177,-1.2194989919662476,0.2787878787878788,,,,,,
F1,diameter_1,large,10.5,11.0,8.0,3.0,-0.5345045328140259,-1.6604220072428386,0.2787878787878788,,,,,,
F1,diameter_2,small_or_equal,9.0,13.0,4.0,9.0,-0.499422550201416,-1.4263889524671767,0.3300699300699301,,,,,,
F1,diameter_2,large,9.0,9.0,7.0,2.0,-0.43974290575299946,-0.9498786926269531,0.6666666666666666,,,,,,
F1,diameter_1,,,,,,,,0.2934238832742103,0.12928951628579308,0.5663473765171478,0.0339085901134949,0.3250968976356011,-0.32509689763560007,0.6501937952712011
F1,diameter_2,,,,,,,,0.18908180596451596,0.1640150956677242,0.46578446316053906,0.031820075573994785,0.36394197666064054,-0.3639419766606418,0.7278839533212824
F1,lesion_area_proxy,,,,,,,,0.21216467995625798,0.14301874601159262,0.5254690818535293,0.0016012080387383535,0.3382769579404761,-0.3382769579404764,0.6765539158809525
