split,native_diagnosis,images,lesions,unknown_identity_images,evaluation_eligible_images
test,AK,145,48,0,145
test,BCC,502,197,0,502
test,BKL,337,191,0,337
test,DF,40,17,0,40
test,MEL,666,201,0,666
test,NV,1714,1065,0,1714
test,SCC,109,40,0,109
test,VASC,41,21,0,41
train,AK,604,227,0,0
train,BCC,2343,917,0,0
train,BKL,1935,888,198,0
train,DF,164,79,0,0
train,MEL,3256,937,337,0
train,NV,9512,4966,1549,0
train,SCC,412,183,0,0
train,VASC,176,94,0,0
val,AK,118,49,0,118
val,BCC,478,196,0,478
val,BKL,352,190,0,352
val,DF,35,17,0,35
val,MEL,600,201,0,600
val,NV,1649,1064,0,1649
val,SCC,107,39,0,107
val,VASC,36,20,0,36
